Cellulose,Hemicellulose,Lignin,Size,Temp,Time,SL_ratio,HBA_HBD_ratio,MW,pKa,HBD_count,HBA_count,viscosity,biomass_enc,hbd_enc,LRY
43.0,26.8,25.9,0.425,80,12.0,0.1,0.2,90.08,3.86,2.0,3.0,10.0,40.223243243243246,51.86124521072797,50.6
43.0,26.8,25.9,0.425,80,12.0,0.1,0.5,92.09,14.4,3.0,3.0,50.0,41.25558823529412,34.32525739644971,21.4
43.0,26.8,25.9,0.425,80,12.0,0.1,0.5,60.06,13.9,2.0,2.0,1.5,41.18,30.997465236686388,8.1
43.0,26.8,25.9,0.425,80,12.0,0.1,0.4285714285714285,68.08,6.99,1.0,2.0,1.5,41.96,70.7258382642998,29.9
40.88,25.64,23.42,0.25,150,1.0,0.1,0.5,92.09,14.4,3.0,3.0,50.0,41.25558823529412,34.32525739644971,26.02
32.39,22.94,21.91,0.25,130,2.0,0.1,0.5,90.08,3.86,2.0,3.0,10.0,40.223243243243246,51.86124521072797,61.93
43.0,17.0,21.0,0.83,160,4.0,0.1,1.0,166.17,4.66,2.0,3.0,10.0,41.96,47.745000000000005,58.0
43.0,17.0,21.0,0.83,160,4.0,0.1,1.0,196.2,4.56,3.0,4.0,10.0,41.25558823529412,51.91873394948207,53.0
43.0,17.0,21.0,0.83,120,4.0,0.1,1.0,166.17,4.66,2.0,3.0,10.0,42.20921052631579,52.495000000000005,24.0
43.0,17.0,21.0,0.83,140,4.0,0.1,1.0,166.17,4.66,2.0,3.0,10.0,41.96,47.745000000000005,30.0
43.0,17.0,21.0,0.83,160,4.0,0.1,1.0,166.17,4.66,2.0,3.0,10.0,41.25558823529412,44.396,57.0
43.0,17.0,21.0,0.83,160,2.0,0.1,1.0,166.17,4.66,2.0,3.0,10.0,42.20921052631579,52.495000000000005,45.0
43.0,17.0,21.0,0.83,160,6.0,0.1,1.0,166.17,4.66,2.0,3.0,10.0,40.223243243243246,42.8,64.98
37.28,21.26,19.61,0.38,150,1.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,41.18,52.52197783251232,66.75
37.28,21.26,19.61,0.38,150,2.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,40.223243243243246,51.86124521072797,44.6
37.28,21.26,19.61,0.38,150,4.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,42.20921052631579,52.767703761755484,20.29
37.28,21.26,19.61,0.38,150,6.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,41.25558823529412,53.016349206349204,22.37
37.28,21.26,19.61,0.38,150,8.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,41.18,52.52197783251232,28.25
37.28,21.26,19.61,0.38,150,10.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,41.96,53.66330982236155,13.43
37.28,21.26,19.61,0.38,90,4.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,41.18,52.52197783251232,19.8
37.28,21.26,19.61,0.38,100,4.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,40.223243243243246,51.86124521072797,23.5
37.28,21.26,19.61,0.38,110,4.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,41.96,53.66330982236155,38.38
37.28,21.26,19.61,0.38,120,4.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,42.20921052631579,52.767703761755484,53.54
37.28,21.26,19.61,0.38,130,4.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,40.223243243243246,51.86124521072797,60.04
